"V1" "V2" "V3" "V4" "V5" "V6" "extr" "extr" "extr" "extr"
"2013/11/30 12:43'07" 41608.52994 25.2 13 1003.3 "" "" "" ""
"2013/11/30 12:43'17" 41608.53006 25.2 13 1003.3 "" "" "" ""
"2013/11/30 12:43'27" 41608.53017 25.3 14 1003.3 "" "" "" ""
"2013/11/30 12:43'37" 41608.53029 25.3 14 1003.3 "" "" "" ""
"2013/11/30 12:43'47" 41608.53041 25.3 13 1003.3 "" "" "" ""
"2013/11/30 12:43'57" 41608.53052 25.4 13 1003.3 "" "" "" ""
"2013/11/30 12:44'07" 41608.53064 25.4 13 1003.3 "" "" "" ""
"2013/11/30 12:44'17" 41608.53075 25.4 13 1003.3 "" "" "" ""
"2013/11/30 12:44'27" 41608.53087 25.4 14 1003.3 "" "" "" ""
"2013/11/30 12:44'37" 41608.53098 25.4 13 1003.4 "" "" "" ""
"2013/11/30 12:44'47" 41608.5311 25.5 13 1003.4 "" "" "" ""
"2013/11/30 12:44'57" 41608.53122 25.5 13 1003.3 "" "" "" ""
"2013/11/30 12:45'07" 41608.53133 25.5 13 1003.3 "" "" "" ""
"2013/11/30 12:45'17" 41608.53145 25.5 13 1003.3 "" "" "" ""
"2013/11/30 12:45'27" 41608.53156 25.6 13 1003.3 "" "" "" ""
"2013/11/30 12:45'37" 41608.53168 25.6 12 1003.3 "" "" "" ""
"2013/11/30 12:45'47" 41608.53179 25.6 13 1003.3 "" "" "" ""
"2013/11/30 12:45'57" 41608.53191 25.7 13 1003.3 "" "" "" ""
"2013/11/30 12:46'07" 41608.53203 25.7 13 1003.3 "" "" "" ""
"2013/11/30 12:46'17" 41608.53214 25.7 13 1003.3 "" "" "" ""
"2013/11/30 12:46'27" 41608.53226 25.7 13 1003.3 "" "" "" ""
"2013/11/30 12:46'37" 41608.53237 25.7 13 1003.3 "" "" "" ""
"2013/11/30 12:46'47" 41608.53249 25.7 13 1003.3 "" "" "" ""
"2013/11/30 12:46'57" 41608.5326 25.7 13 1003.2 "" "" "" ""
"2013/11/30 12:47'07" 41608.53272 25.7 13 1003.2 "" "" "" ""
"2013/11/30 12:47'17" 41608.53284 25.7 13 1003.3 "" "" "" ""
"2013/11/30 12:47'27" 41608.53295 25.7 12 1003.3 "" "" "" ""
"2013/11/30 12:47'37" 41608.53307 25.7 12 1003.3 "" "" "" ""
"2013/11/30 12:47'47" 41608.53318 25.6 13 1003.3 "" "" "" ""
"2013/11/30 12:47'57" 41608.5333 25.6 12 1003.3 "" "" "" ""
"2013/11/30 12:48'07" 41608.53341 25.6 12 1003.3 "" "" "" ""
"2013/11/30 12:48'17" 41608.53353 25.6 12 1003.3 "" "" "" ""
"2013/11/30 12:48'27" 41608.53365 25.6 13 1003.3 "" "" "" ""
"2013/11/30 12:48'37" 41608.53376 25.5 12 1003.3 "" "" "" ""
"2013/11/30 12:48'47" 41608.53388 25.5 12 1003.3 "" "" "" ""
"2013/11/30 12:48'57" 41608.53399 25.5 13 1003.3 "" "" "" ""
"2013/11/30 12:49'07" 41608.53411 25.5 12 1003.3 "" "" "" ""
"2013/11/30 12:49'17" 41608.53422 25.4 13 1003.3 "" "" "" ""
"2013/11/30 12:49'27" 41608.53434 25.4 12 1003.3 "" "" "" ""
"2013/11/30 12:49'37" 41608.53446 25.4 13 1003.2 "" "" "" ""
"2013/11/30 12:49'47" 41608.53457 25.4 12 1003.2 "" "" "" ""
"2013/11/30 12:49'57" 41608.53469 25.3 12 1003.2 "" "" "" ""
"2013/11/30 12:50'07" 41608.5348 25.3 12 1003.3 "" "" "" ""
"2013/11/30 12:50'17" 41608.53492 25.3 13 1003.3 "" "" "" ""
"2013/11/30 12:50'27" 41608.53503 25.3 12 1003.3 "" "" "" ""
"2013/11/30 12:50'37" 41608.53515 25.3 13 1003.3 "" "" "" ""
"2013/11/30 12:50'47" 41608.53527 25.2 12 1003.3 "" "" "" ""
"2013/11/30 12:50'57" 41608.53538 25.2 13 1003.3 "" "" "" ""
"2013/11/30 12:51'07" 41608.5355 25.2 13 1003.3 "" "" "" ""
"2013/11/30 12:51'17" 41608.53561 25.2 12 1003.2 "" "" "" ""
"2013/11/30 12:51'27" 41608.53573 25.2 12 1003.2 "" "" "" ""
"2013/11/30 12:51'37" 41608.53584 25.2 13 1003.2 "" "" "" ""
"2013/11/30 12:51'47" 41608.53596 25.2 13 1003.2 "" "" "" ""
"2013/11/30 12:51'57" 41608.53608 25.2 12 1003.2 "" "" "" ""
"2013/11/30 12:52'07" 41608.53619 25.2 13 1003.2 "" "" "" ""
"2013/11/30 12:52'17" 41608.53631 25.1 12 1003.2 "" "" "" ""
"2013/11/30 12:52'27" 41608.53642 25.1 13 1003.2 "" "" "" ""
"2013/11/30 12:52'37" 41608.53654 25.1 13 1003.2 "" "" "" ""
"2013/11/30 12:52'47" 41608.53666 25.1 12 1003.2 "" "" "" ""
"2013/11/30 12:52'57" 41608.53677 25.1 13 1003.2 "" "" "" ""
"2013/11/30 12:53'07" 41608.53689 25.1 13 1003.2 "" "" "" ""
"2013/11/30 12:53'17" 41608.537 25.1 13 1003.2 "" "" "" ""
"2013/11/30 12:53'27" 41608.53712 25.1 13 1003.2 "" "" "" ""
"2013/11/30 12:53'37" 41608.53723 25 13 1003.2 "" "" "" ""
"2013/11/30 12:53'47" 41608.53735 25 13 1003.2 "" "" "" ""
"2013/11/30 12:53'57" 41608.53747 25 13 1003.2 "" "" "" ""
"2013/11/30 12:54'07" 41608.53758 25 13 1003.2 "" "" "" ""
"2013/11/30 12:54'17" 41608.5377 25 13 1003.2 "" "" "" ""
"2013/11/30 12:54'27" 41608.53781 25 12 1003.2 "" "" "" ""
"2013/11/30 12:54'37" 41608.53793 25 13 1003.2 "" "" "" ""
"2013/11/30 12:54'47" 41608.53804 24.9 12 1003.2 "" "" "" ""
"2013/11/30 12:54'57" 41608.53816 24.9 13 1003.2 "" "" "" ""
"2013/11/30 12:55'07" 41608.53828 24.9 13 1003.2 "" "" "" ""
"2013/11/30 12:55'17" 41608.53839 24.9 12 1003.2 "" "" "" ""
"2013/11/30 12:55'27" 41608.53851 24.9 13 1003.2 "" "" "" ""
"2013/11/30 12:55'37" 41608.53862 24.9 13 1003.2 "" "" "" ""
"2013/11/30 12:55'47" 41608.53874 24.9 13 1003.2 "" "" "" ""
"2013/11/30 12:55'57" 41608.53885 24.9 13 1003.2 "" "" "" ""
"2013/11/30 12:56'07" 41608.53897 24.9 13 1003.2 "" "" "" ""
"2013/11/30 12:56'17" 41608.53909 24.8 13 1003.2 "" "" "" ""
"2013/11/30 12:56'27" 41608.5392 24.8 13 1003.2 "" "" "" ""
"2013/11/30 12:56'37" 41608.53932 24.8 13 1003.2 "" "" "" ""
"2013/11/30 12:56'47" 41608.53943 24.8 13 1003.2 "" "" "" ""
"2013/11/30 12:56'57" 41608.53955 24.8 13 1003.2 "" "" "" ""
"2013/11/30 12:57'07" 41608.53966 24.8 13 1003.2 "" "" "" ""
"2013/11/30 12:57'17" 41608.53978 24.8 13 1003.2 "" "" "" ""
"2013/11/30 12:57'27" 41608.5399 24.8 13 1003.2 "" "" "" ""
"2013/11/30 12:57'37" 41608.54001 24.8 13 1003.3 "" "" "" ""
"2013/11/30 12:57'47" 41608.54013 24.8 13 1003.3 "" "" "" ""
"2013/11/30 12:57'57" 41608.54024 24.8 13 1003.3 "" "" "" ""
"2013/11/30 12:58'07" 41608.54036 24.8 13 1003.2 "" "" "" ""
"2013/11/30 12:58'17" 41608.54047 24.8 13 1003.3 "" "" "" ""
"2013/11/30 12:58'27" 41608.54059 24.7 13 1003.2 "" "" "" ""
"2013/11/30 12:58'37" 41608.54071 24.7 13 1003.2 "" "" "" ""
"2013/11/30 12:58'47" 41608.54082 24.7 13 1003.2 "" "" "" ""
"2013/11/30 12:58'57" 41608.54094 24.7 13 1003.2 "" "" "" ""
"2013/11/30 12:59'07" 41608.54105 24.7 13 1003.2 "" "" "" ""
"2013/11/30 12:59'17" 41608.54117 24.7 13 1003.3 "" "" "" ""
"2013/11/30 12:59'27" 41608.54128 24.7 13 1003.3 "" "" "" ""
"2013/11/30 12:59'37" 41608.5414 24.7 13 1003.3 "" "" "" ""
"2013/11/30 12:59'47" 41608.54152 24.7 14 1003.3 "" "" "" ""
"2013/11/30 12:59'57" 41608.54163 24.6 13 1003.3 "" "" "" ""
"2013/11/30 13:00'07" 41608.54175 24.6 14 1003.3 "" "" "" ""
"2013/11/30 13:00'17" 41608.54186 24.6 13 1003.3 "" "" "" ""
"2013/11/30 13:00'27" 41608.54198 24.6 13 1003.3 "" "" "" ""
"2013/11/30 13:00'37" 41608.54209 24.6 14 1003.3 "" "" "" ""
"2013/11/30 13:00'47" 41608.54221 24.6 13 1003.3 "" "" "" ""
"2013/11/30 13:00'57" 41608.54233 24.6 13 1003.3 "" "" "" ""
"2013/11/30 13:01'07" 41608.54244 24.6 13 1003.2 "" "" "" ""
"2013/11/30 13:01'17" 41608.54256 24.6 14 1003.2 "" "" "" ""
"2013/11/30 13:01'27" 41608.54267 24.6 13 1003.2 "" "" "" ""
"2013/11/30 13:01'37" 41608.54279 24.6 14 1003.2 "" "" "" ""
"2013/11/30 13:01'47" 41608.54291 24.6 13 1003.2 "" "" "" ""
"2013/11/30 13:01'57" 41608.54302 24.5 13 1003.3 "" "" "" ""
"2013/11/30 13:02'07" 41608.54314 24.5 13 1003.3 "" "" "" ""
"2013/11/30 13:02'17" 41608.54325 24.5 14 1003.3 "" "" "" ""
"2013/11/30 13:02'27" 41608.54337 24.5 14 1003.3 "" "" "" ""
"2013/11/30 13:02'37" 41608.54348 24.5 14 1003.2 "" "" "" ""
"2013/11/30 13:02'47" 41608.5436 24.5 14 1003.2 "" "" "" ""
"2013/11/30 13:02'57" 41608.54372 24.5 14 1003.2 "" "" "" ""
"2013/11/30 13:03'07" 41608.54383 24.5 14 1003.2 "" "" "" ""
"2013/11/30 13:03'17" 41608.54395 24.5 14 1003.2 "" "" "" ""
"2013/11/30 13:03'27" 41608.54406 24.5 14 1003.2 "" "" "" ""
"2013/11/30 13:03'37" 41608.54418 24.5 14 1003.2 "" "" "" ""
"2013/11/30 13:03'47" 41608.54429 24.6 14 1003.2 "" "" "" ""
"2013/11/30 13:03'57" 41608.54441 24.6 15 1003.3 "" "" "" ""
