"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"ßC"	"%RH"	"hPa"	""	""	""	""	""
"2014/07/16 12:04'55"	"41836.5034143519"	"  22.6000"	"  57.0000"	"  997.4000"	""	""	""	""	""	
"2014/07/16 12:05'15"	"41836.5036458333"	"  22.6000"	"  57.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:05'35"	"41836.5038773148"	"  22.6000"	"  57.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:05'55"	"41836.5041087963"	"  22.6000"	"  57.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:06'15"	"41836.5043402778"	"  22.7000"	"  57.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:06'35"	"41836.5045717593"	"  22.7000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:06'55"	"41836.5048032407"	"  22.7000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:07'15"	"41836.5050347222"	"  22.7000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:07'35"	"41836.5052662037"	"  22.7000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:07'55"	"41836.5054976852"	"  22.6000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:08'15"	"41836.5057291667"	"  22.6000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:08'35"	"41836.5059606481"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:08'55"	"41836.5061921296"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:09'15"	"41836.5064236111"	"  22.6000"	"  56.0000"	"  997.3000"	""	""	""	""	""	
"2014/07/16 12:09'35"	"41836.5066550926"	"  22.6000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
"2014/07/16 12:09'55"	"41836.5068865741"	"  22.6000"	"  56.0000"	"  997.2000"	""	""	""	""	""	
